x (sign(x), time)
1259 (8277, 19)
1260 (2715, 19)
1261 (9700, 19)
1262 (292, 19)
1263 (3654, 118)
1264 (7226, 118)
1265 (5486, 19)
1266 (4679, 19)
1267 (6418, 19)
1268 (8914, 19)
1269 (6226, 19)
1270 (9870, 19)
1271 (4211, 19)
1272 (7729, 19)
1273 (2592, 19)
1274 (6617, 19)
1275 (3618, 19)
1276 (619, 19)
1277 (1558, 19)
1278 (638, 19)
1279 (4551, 19)
1280 (1313, 19)
1281 (5122, 19)
1282 (4176, 19)
1283 (8849, 19)
1284 (1830, 19)
1285 (5811, 19)
1286 (4991, 19)
1287 (9222, 19)
1288 (3989, 19)
1289 (6638, 19)
1290 (8907, 19)
1291 (6964, 19)
1292 (3406, 118)
1293 (3494, 19)
1294 (2877, 19)
1295 (4319, 19)
1296 (8306, 19)
1297 (9180, 19)
1298 (9739, 19)
1299 (664, 118)
1300 (5664, 19)
1301 (996, 19)
1302 (2120, 19)
1303 (4011, 19)
1304 (7659, 19)
1305 (3564, 19)
1306 (7693, 19)
1307 (3035, 19)
1308 (5579, 19)
1309 (4653, 19)
1310 (6696, 19)
1311 (10814, 19)
1312 (5016, 19)
1313 (7439, 19)
1314 (5263, 19)
1315 (4272, 19)
1316 (10248, 19)
1317 (4864, 118)
1318 (3466, 19)
1319 (156, 19)
1320 (1664, 19)
1321 (9758, 19)
1322 (3527, 19)
1323 (4692, 19)
1324 (337, 19)
1325 (615, 19)
1326 (6109, 19)
1327 (9786, 19)
1328 (9914, 19)
1329 (5837, 19)
1330 (10046, 19)
1331 (6002, 19)
1332 (9402, 19)
1333 (9559, 19)
1334 (6605, 217)
1335 (6221, 19)
1336 (75, 19)
1337 (2420, 19)
1338 (10301, 19)
1339 (336, 19)
1340 (8447, 19)
1341 (5861, 19)
1342 (3874, 19)
1343 (8208, 118)
1344 (8119, 19)
1345 (5799, 19)
1346 (4101, 19)
1347 (7597, 19)
1348 (2094, 19)
1349 (2934, 19)
1350 (4056, 19)
1351 (10, 19)
1352 (275, 19)
1353 (171, 19)
1354 (9161, 19)
1355 (9943, 19)
1356 (226, 19)
1357 (1357, 19)
1358 (5529, 19)
1359 (3784, 19)
1360 (10347, 19)
1361 (4510, 19)
1362 (4419, 19)
1363 (9044, 118)
1364 (3217, 19)
1365 (87, 118)
1366 (9233, 19)
1367 (2789, 19)
1368 (6345, 19)
1369 (5013, 19)
1370 (7539, 19)
1371 (6908, 19)
1372 (10311, 19)
